LATITUDE,LONGITUDE,ALTITUDE
29.080125000000002,-13.71907,15756
29.08184,-13.71907,15764
29.083555,-13.71924,15772
29.08527,-13.71941,15780
29.0869875,-13.71958,15788
29.088705,-13.71975,15800
29.090422500000003,-13.7199225,15808
29.09214,-13.720095,15812
29.0938575,-13.7202675,15820
29.095575,-13.72044,15828
29.097292500000002,-13.72044,15836
29.09901,-13.72044,15844
29.1008125,-13.72044,15852
29.102615,-13.72044,15860
29.1044175,-13.7206125,15872
29.10622,-13.720785,15880
29.107935,-13.7209575,15892
29.109650000000002,-13.72113,15904
29.111365,-13.7213,15916
29.11308,-13.72147,15932
29.1148825,-13.72164,15948
29.116685,-13.72181,15964
29.1184875,-13.72181,15984
29.12029,-13.72181,16004
29.1220925,-13.72181,16024
29.123895,-13.72181,16048
29.1256975,-13.7219825,16072
29.1275,-13.722155,16092
29.1293025,-13.7223275,16116
29.131104999999998,-13.7225,16140
29.132907499999998,-13.7225,16164
29.13471,-13.7225,16188
29.1364275,-13.7225,16212
29.138145,-13.7225,16236
29.1398625,-13.7226725,16260
29.14158,-13.722845,16288
29.1433825,-13.723017500000001,16312
29.145185,-13.72319,16340
29.1469875,-13.72336,16364
29.14879,-13.72353,16388
29.150592500000002,-13.723700000000001,16416
29.152395,-13.72387,16440
29.1541975,-13.72387,16464
29.156,-13.72387,16488
29.1578025,-13.72387,16512
29.159605,-13.72387,16536
29.1614075,-13.7240425,16560
29.16321,-13.724215000000001,16580
29.1650125,-13.7243875,16600
29.166815,-13.72456,16624
29.1686175,-13.7247325,16644
29.17042,-13.724905,16664
29.1722225,-13.725077500000001,16684
29.174025,-13.72525,16708
29.1758275,-13.72525,16728
29.17763,-13.72525,16748
29.1795175,-13.72525,16772
29.181404999999998,-13.72525,16788
29.1832925,-13.72542,16808
29.18518,-13.72559,16832
29.1869825,-13.725760000000001,16852
29.188785,-13.72593,16872
29.1905875,-13.7261025,16892
29.19239,-13.726275000000001,16912
29.1941925,-13.7264475,16936
29.195995,-13.72662,16956
29.1977975,-13.72662,16980
29.1996,-13.72662,17000
29.2014875,-13.72662,17024
29.203375,-13.72662,17044
29.2052625,-13.7267925,17068
29.20715,-13.726965,17092
29.2089525,-13.7271375,17112
29.210755,-13.72731,17136
29.2125575,-13.72748,17160
29.21436,-13.72765,17184
29.21625,-13.72782,17212
29.21814,-13.72799,17236
29.22003,-13.72799,17264
29.22192,-13.72799,17292
29.2237225,-13.72799,17320
29.225525,-13.72799,17344
29.2273275,-13.7281625,17372
29.22913,-13.728335000000001,17404
29.2310175,-13.728507500000001,17428
29.232905000000002,-13.72868,17456
29.2347925,-13.7288525,17480
29.23668,-13.729025,17504
29.2384825,-13.7291975,17532
29.240285,-13.72937,17556
29.2420875,-13.72937,17580
29.24389,-13.72937,17604
29.2457775,-13.72937,17632
29.247664999999998,-13.72937,17656
29.2495525,-13.72954,17684
29.25144,-13.72971,17712
29.25333,-13.72988,17740
29.25522,-13.73005,17772
29.25711,-13.7302225,17804
29.259,-13.730395000000001,17832
29.2608,-13.730567500000001,17864
29.2626,-13.73074,17896
29.264400000000002,-13.73074,17932
29.2662,-13.73074,17964
29.26809,-13.73074,18000
29.26998,-13.73074,18032
29.27187,-13.7309125,18072
29.27376,-13.731085,18108
29.2755625,-13.7312575,18144
29.277365,-13.73143,18184
29.2791675,-13.7316,18220
29.28097,-13.731770000000001,18256
29.2828575,-13.73194,18296
29.284745,-13.73211,18332
29.2866325,-13.73211,18368
29.28852,-13.73211,18408
29.2903225,-13.73211,18444
29.292125,-13.73211,18480
29.2939275,-13.7322825,18520
29.29573,-13.732455,18556
29.2975325,-13.7326275,18592
29.299335,-13.7328,18632
29.3011375,-13.732972499999999,18664
29.30294,-13.733145,18696
29.304827500000002,-13.7333175,18732
29.306715,-13.73349,18764
29.3086025,-13.73349,18792
29.31049,-13.73349,18820
29.3122925,-13.73349,18852
29.314095000000002,-13.73349,18876
29.3158975,-13.73366,18900
29.3177,-13.733830000000001,18928
